nombre, edad, direccion, pais, numeroCompetencia, victorias, polePosition, vueltas rapidas, podios
Max Verstappen,26,Pais Bajos,Holanda,33,20,15,10,25
Lewis Hamilton,39,Reino Unido,Inglaterra,44,15,10,8,20
Sebastian Vettel,35,Alemania,Hessen,5,10,5,6,15
Fernando Alonso,42,España,Madrid,14,12,7,5,18
Charles Leclerc,27,Mónaco,Mónaco,16,8,6,4,12
Lando Norris,24,Reino Unido,Inglaterra,4,5,2,3,7
Valtteri Bottas,32,Finlandia,Finlandia,77,9,4,5,11
Franco Colapinto,21,Argentina,Buenos Aires,18,2,1,1,3
George Russell,26,Reino Unido,Inglaterra,63,6,3,2,9
Carlos Sainz,28,España,Madrid,55,7,4,3,10
