nombre, longitud
Circuito de Monaco, 3.337
Circuito de Silverstone, 5.891
Circuito de Monza, 5.793
Circuito de Spa-Francorchamps, 7.004
Circuito de Suzuka, 5.807
Circuito de Interlagos, 4.309
Circuito de Bahrain, 5.412
Circuito de Melbourne, 5.303
Circuito de Barcelona-Catalunya, 4.655
Circuito de Hungaroring, 4.381
Circuito de Yas Marina, 5.554
Circuito de Austin, 5.513
Circuito de Zandvoort, 4.259
Circuito de Imola, 4.909
Circuito de Miami, 5.412
Circuito de Jeddah, 6.174
Circuito de Las Vegas, 6.120
Circuito de Shanghai, 5.451
